,,,,,,,,,,
Cult,TOP,6,50%,1.9,3.3,4.2,4.7,7.6,373,20.4
,,,,,,,,,,
Cupcake,SUPPORT,8,25%,1.7,0.6,3.8,5.8,1.2,224,9.7
,,,,,,,,,,
Curse,TOP,33,48.50%,2.2,2.4,2.8,3.7,7.9,380,23.7
,,,,,,,,,,
Cuzz,JUNGLE,33,66.70%,6.1,1.6,1.4,6.9,5.4,312,14.8
,,,,,,,,,,
Czajek,MID,24,66.70%,4,3.8,2.2,5,8.5,392,26.9
,,,,,,,,,,
Czaru,TOP,17,23.50%,1.6,2,2.8,2.5,6.6,322,22.7
,,,,,,,,,,
Czekolad,MID,25,76%,3.7,3.8,2.1,4,9.2,425,26.3
,,,,,,,,,,
DNK,JUNGLE,39,56.40%,3.9,3.3,2.7,7.1,5.5,349,17.4
,,,,,,,,,,
DREAMPYLLA,TOP,15,93.30%,6.1,2.7,1.7,7.5,7.3,378,20.4
,,,,,,,,,,
Dalijes,JUNGLE,17,41.20%,3.3,2.1,3,7.9,4.6,303,12.3
,,,,,,,,,,
Damage,SUPPORT,12,41.70%,2,0.8,3.5,6.3,1.2,221,7.8
,,,,,,,,,,
Damage,ADC,3,66.70%,8.3,1.7,1.3,9.3,4.6,293,9.2
,,,,,,,,,,
Dambaj,ADC,13,23.10%,2.6,2.2,2.5,4.1,8.3,364,23.1
,,,,,,,,,,
Dambaj,SUPPORT,1,0%,8,1,1,7,1.7,252,21.7
,,,,,,,,,,
Damonte,MID,22,59.10%,5,4.1,2.1,6.3,8.3,391,28.5
,,,,,,,,,,
Dan Dan,TOP,22,50%,2.7,2.2,2.5,4.6,8,391,24.3
,,,,,,,,,,
DanChung,MID,5,60%,2.9,1.8,2.6,5.8,7.5,347,25
,,,,,,,,,,
Dany,SUPPORT,4,75%,6.1,2.5,2,9.8,2.6,312,26.2
,,,,,,,,,,
Dany,ADC,27,63%,3.9,4.8,3.1,7.2,7.6,406,24.8
,,,,,,,,,,
Dardoch,JUNGLE,28,50%,2.4,1.9,3.5,6.4,4.4,291,12.9
,,,,,,,,,,
Dasher,TOP,14,28.60%,2.1,2.9,3.1,3.6,7.9,367,28.1
,,,,,,,,,,
Davidao,TOP,14,28.60%,2.4,2.6,3,4.6,7.4,355,26
,,,,,,,,,,
Daylight,JUNGLE,2,0%,1.4,0.5,2.5,3,4.7,285,11.6
,,,,,,,,,,
Decay,MID,18,61.10%,6.5,4.7,1.6,5.8,8.6,408,28.4
,,,,,,,,,,
Decoy,ADC,1,100%,3.3,4,4,9,8.3,413,23.5
,,,,,,,,,,
Decoy,SUPPORT,17,64.70%,3.7,0.5,2.2,7.6,1,239,8.2
,,,,,,,,,,
Defles,ADC,4,25%,3.9,2.5,1.8,4.3,8.9,379,27.3
,,,,,,,,,,
Defles,SUPPORT,2,100%,12.5,4,1,8.5,1.6,311,25.3
,,,,,,,,,,
Deft,ADC,41,65.90%,5,4,1.8,4.8,10.1,451,29
,,,,,,,,,,
Deft,SUPPORT,2,100%,-,6.5,0,7.5,2.7,388,31.4
,,,,,,,,,,
Deftly,ADC,24,66.70%,6.2,4.3,1.7,5.9,9.7,449,27.7
,,,,,,,,,,
Deftly,SUPPORT,1,100%,-,4,0,12,2.8,327,22.7
,,,,,,,,,,
Deidara,TOP,18,66.70%,3.5,2.7,2.9,7.4,7.1,368,20.1
,,,,,,,,,,
Delitto,TOP,8,50%,2.7,2.4,3.5,7,6.8,366,20.3
,,,,,,,,,,
Demon,JUNGLE,21,42.90%,3.1,1.7,2.9,7.2,4.8,294,13.4
,,,,,,,,,,
Den Voksne,ADC,6,33.30%,2.4,7,4.8,4.8,9.1,458,35.4
,,,,,,,,,,
Dennis,SUPPORT,14,35.70%,3.4,0.6,2.2,6.9,1,222,9.1
,,,,,,,,,,
Denyk,SUPPORT,22,50%,3.7,0.6,2,7,1,225,7.2
,,,,,,,,,,
Deoxys,MID,3,0%,1.5,3,3.3,2,7,334,26.2
,,,,,,,,,,
Destiny,SUPPORT,29,58.60%,3.5,0.8,2.8,8.8,0.9,229,7.8
,,,,,,,,,,
Destiny,ADC,1,100%,-,0,0,3,7.7,345,7.4
,,,,,,,,,,
Deus,TOP,18,22.20%,2.2,1.8,2.6,3.8,8,368,23.4
,,,,,,,,,,
Dhokla,TOP,25,56%,3.1,3.1,2.7,5.1,7.4,382,24.7
,,,,,,,,,,
